GA5,GA10,GA15,GA,GO5,GO10,GO15,GO,MA5,MA10,MA15,MA,MS5,MS10,MS15,MS,aa
929.381,929.119,929.265,929.11,994.396,994.373,994.35,994.47,72.7481,72.747,72.7267,72.705,56.815,56.8302,56.8069,56.8,153
929.298,929.063,929.266,928.99,994.384,994.275,994.311,994.41,72.7433,72.7421,72.7231,72.695,56.817,56.8253,56.8057,56.8,154
929.211,929.008,929.217,929.32,994.373,994.176,994.274,994.33,72.7377,72.7373,72.722,72.715,56.8192,56.8202,56.8053,56.795,155
929.12,928.957,929.125,929.31,994.364,994.08,994.239,994.42,72.7315,72.733,72.7232,72.7035,56.8216,56.8152,56.8057,56.81,156
929.025,928.909,929.005,929.14,994.356,993.99,994.204,994.344,72.7249,72.7293,72.726,72.7299,56.8242,56.8107,56.8069,56.805,157
928.926,928.865,928.875,929,994.351,993.91,994.167,994.35,72.718,72.7262,72.7298,72.74,56.827,56.8068,56.8088,56.81,158
928.825,928.824,928.751,928.6633,994.349,993.842,994.125,993.88,72.7109,72.7237,72.7337,72.72,56.8298,56.8041,56.8112,56.81,159
928.721,928.786,928.651,928.46,994.35,993.789,994.076,993.74,72.7038,72.7217,72.7368,72.72,56.8328,56.8026,56.8141,56.815,160
928.616,928.75,928.585,928.815,994.354,993.755,994.017,993.62,72.6969,72.7199,72.7386,72.7,56.8359,56.8027,56.8173,56.82,161
928.509,928.715,928.555,928.565,994.363,993.742,993.95,993.85,72.6903,72.7182,72.7385,72.71,56.8391,56.8044,56.821,56.85,162
928.402,928.679,928.56,929.12,994.375,993.75,993.878,993.74,72.6841,72.7163,72.7362,72.72,56.8423,56.808,56.8249,56.84,163
928.294,928.641,928.589,929.14,994.391,993.781,993.807,994.0038,72.6784,72.714,72.7318,72.72,56.8456,56.8134,56.8292,56.83,164
928.187,928.599,928.629,928.501,994.412,993.835,993.746,993.69,72.6733,72.7111,72.7255,72.715,56.8489,56.8204,56.8338,56.815,165
928.08,928.551,928.665,928.83,994.437,993.912,993.707,993.785,72.6688,72.7074,72.7175,72.735,56.8522,56.829,56.8389,56.84,166
927.974,928.496,928.684,928.615,994.467,994.01,993.703,994,72.665,72.7027,72.7084,72.7301,56.8554,56.8388,56.8443,56.84,167
927.87,928.433,928.674,929.01,994.502,994.129,993.745,993.86,72.6618,72.6971,72.6985,72.74,56.8586,56.8495,56.8502,56.85,168
927.767,928.36,928.63,928.5,994.541,994.264,993.843,993.995,72.6592,72.6906,72.6882,72.745,56.8617,56.8607,56.8567,56.855,169
927.667,928.278,928.55,928.1592,994.585,994.415,994.002,993.88,72.6572,72.6833,72.6779,72.7387,56.8647,56.872,56.8635,56.8668,170
927.57,928.185,928.437,928.31,994.634,994.577,994.221,994.09,72.6556,72.6753,72.6678,72.705,56.8676,56.8829,56.8708,56.877,171
927.475,928.082,928.298,928.29,994.687,994.746,994.492,994.48,72.6543,72.667,72.6581,72.68,56.8703,56.893,56.8784,56.91,172
927.384,927.97,928.141,927.66,994.745,994.92,994.801,995.0408,72.6533,72.6585,72.6489,72.65,56.8729,56.9017,56.8861,56.88,173
927.296,927.85,927.973,927.81,994.807,995.093,995.13,994.79,72.6524,72.6503,72.6405,72.65,56.8753,56.9089,56.8938,56.895,174
927.212,927.723,927.801,927.31,994.873,995.261,995.455,995.18,72.6515,72.6426,72.6329,72.635,56.8776,56.9142,56.9012,56.88,175
927.133,927.59,927.629,927.355,994.943,995.423,995.753,995.57,72.6504,72.6356,72.6263,72.62,56.8796,56.9173,56.908,56.91,176
